time,t2m,skt,sp,cvh,siconc,number,latitude,longitude,expver,ssr,t2m_c,skt_c
1978-06-01 00:00:00,218.37598,216.25719,68301.89,0.0,,0,-90.0,335.25,0001,,-54.774017,-56.892807
1978-06-01 06:00:00,,,,,,0,-90.0,335.25,,8.639997e-11,,
1978-07-01 00:00:00,217.5195,215.12056,68510.14,0.0,,0,-90.0,335.25,0001,,-55.630493,-58.029434
1978-07-01 06:00:00,,,,,,0,-90.0,335.25,,8.639997e-11,,
1978-08-01 00:00:00,219.65338,217.08594,67044.84,0.0,,0,-90.0,335.25,0001,,-53.496613,-56.064056
1978-08-01 06:00:00,,,,,,0,-90.0,335.25,,8.639997e-11,,
1978-09-01 00:00:00,218.55179,215.73741,67800.58,0.0,,0,-90.0,335.25,0001,,-54.598206,-57.412582
1978-09-01 06:00:00,,,,,,0,-90.0,335.25,,56936.453,,
1978-10-01 00:00:00,228.26872,226.95439,68239.47,0.0,,0,-90.0,335.25,0001,,-44.88127,-46.195602
1978-10-01 06:00:00,,,,,,0,-90.0,335.25,,1790976.0,,
1978-11-01 00:00:00,236.90408,236.26714,68749.78,0.0,,0,-90.0,335.25,0001,,-36.24591,-36.88286
1978-11-01 06:00:00,,,,,,0,-90.0,335.25,,4787200.0,,
1978-12-01 00:00:00,244.18477,243.66794,69169.46,0.0,,0,-90.0,335.25,0001,,-28.965225,-29.482056
1978-12-01 06:00:00,,,,,,0,-90.0,335.25,,6238208.0,,
1979-01-01 00:00:00,242.92812,241.92255,69258.2,0.0,,0,-90.0,335.25,0001,,-30.221878,-31.227448
1979-01-01 06:00:00,,,,,,0,-90.0,335.25,,5719040.0,,
1979-02-01 00:00:00,234.14534,232.50217,68907.58,0.0,,0,-90.0,335.25,0001,,-39.004654,-40.647827
1979-02-01 06:00:00,,,,,,0,-90.0,335.25,,3184128.0,,
1979-03-01 00:00:00,227.91368,226.73798,68381.17,0.0,,0,-90.0,335.25,0001,,-45.236313,-46.412018
1979-03-01 06:00:00,,,,,,0,-90.0,335.25,,413840.44,,
1979-04-01 00:00:00,225.81618,223.34415,68794.79,0.0,,0,-90.0,335.25,0001,,-47.333817,-49.805847
1979-04-01 06:00:00,,,,,,0,-90.0,335.25,,8.639997e-11,,
1979-05-01 00:00:00,218.64397,216.18452,67839.27,0.0,,0,-90.0,335.25,0001,,-54.506027,-56.96547
1979-05-01 06:00:00,,,,,,0,-90.0,335.25,,8.639997e-11,,
1979-06-01 00:00:00,222.42651,220.87245,68363.234,0.0,,0,-90.0,335.25,0001,,-50.72348,-52.277542
1979-06-01 06:00:00,,,,,,0,-90.0,335.25,,8.639997e-11,,
1979-07-01 00:00:00,215.94478,213.923,67042.8,0.0,,0,-90.0,335.25,0001,,-57.205215,-59.22699
1979-07-01 06:00:00,,,,,,0,-90.0,335.25,,8.639997e-11,,
1979-08-01 00:00:00,218.16417,215.874,67913.28,0.0,,0,-90.0,335.25,0001,,-54.985825,-57.276
1979-08-01 06:00:00,,,,,,0,-90.0,335.25,,8.639997e-11,,
